2025-01-04 00:47:20: Initializing Game Window...
2025-01-04 00:47:20: Player updates ActionTree
2025-01-04 00:47:20: Starting CombatEncounter
2025-01-04 00:47:20: Player starts turn
2025-01-04 00:47:25: Selected: Attack
2025-01-04 00:47:28: Player starts turn
2025-01-04 00:47:28: Player starts turn
2025-01-04 00:47:29: Player starts turn
2025-01-04 00:47:57: Player starts turn
2025-01-04 00:51:58: Selected: Items
2025-01-04 00:53:05: Selected: Magic
2025-01-04 00:56:57: Game Window Closed
